,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
59,2018-03-02,87.3725,88.8839,90.3954,91.9068,93.4182,84.5847,86.0961,87.6076,89.119,90.6304,81.7969,83.3083,84.8197,86.3312,87.8426,79.0091,80.5205,82.0319,83.5433,85.0548,90.7581,92.2642,93.7703,95.2764,96.7825
60,2018-03-05,87.3725,88.8839,90.3954,91.9068,93.4182,84.5847,86.0961,87.6076,89.119,90.6304,81.7969,83.3083,84.8197,86.3312,87.8426,79.0091,80.5205,82.0319,83.5433,85.0548,90.7581,92.2642,93.7703,95.2764,96.7825
61,2018-03-06,87.3725,88.8839,90.3954,91.9068,93.4182,84.5847,86.0961,87.6076,89.119,90.6304,81.7969,83.3083,84.8197,86.3312,87.8426,79.0091,80.5205,82.0319,83.5433,85.0548,90.7581,92.2642,93.7703,95.2764,96.7825
62,2018-03-07,87.3609,88.8727,90.3844,91.8961,93.4078,84.5728,86.0845,87.5962,89.1079,90.6196,81.7846,83.2963,84.808,86.3197,87.8314,78.9964,80.5081,82.0198,83.5315,85.0432,90.746,92.2524,93.7588,95.2652,96.7715
63,2018-03-08,87.284,88.7988,90.3136,91.8284,93.3432,84.4918,86.0066,87.5214,89.0362,90.551,81.6996,83.2143,84.7291,86.2439,87.7587,78.9073,80.4221,81.9369,83.4517,84.9665,90.6529,92.1624,93.6719,95.1813,96.6908
64,2018-03-09,87.284,88.7988,90.3136,91.8284,93.3432,84.4918,86.0066,87.5214,89.0362,90.551,81.6996,83.2143,84.7291,86.2439,87.7587,78.9073,80.4221,81.9369,83.4517,84.9665,90.6529,92.1624,93.6719,95.1813,96.6908
65,2018-03-12,87.7006,89.2276,90.7546,92.2816,93.8086,84.8883,86.4153,87.9424,89.4694,90.9964,82.0761,83.6031,85.1301,86.6571,88.1841,79.2638,80.7908,82.3178,83.8449,85.3719,90.9894,92.5111,94.0328,95.5545,97.0762
66,2018-03-13,87.5371,89.0767,90.6163,92.1559,93.6956,84.7037,86.2433,87.7829,89.3226,90.8622,81.8703,83.4099,84.9495,86.4892,88.0288,79.0369,80.5765,82.1161,83.6558,85.1954,90.7413,92.2756,93.8099,95.3442,96.8785
67,2018-03-14,87.3751,88.9183,90.4615,92.0047,93.548,84.5367,86.0799,87.6231,89.1663,90.7095,81.6983,83.2415,84.7847,86.3279,87.8711,78.8598,80.403,81.9462,83.4895,85.0327,90.5105,92.049,93.5875,95.126,96.6645
68,2018-03-15,87.6617,89.2169,90.7721,92.3272,93.8824,84.8023,86.3575,87.9127,89.4678,91.023,81.943,83.4981,85.0533,86.6084,88.1636,79.0836,80.6387,82.1939,83.749,85.3042,90.6983,92.2479,93.7976,95.3472,96.8968
69,2018-03-16,87.5833,89.1413,90.6994,92.2575,93.8156,84.7191,86.2772,87.8353,89.3934,90.9515,81.855,83.4131,84.9712,86.5293,88.0874,78.9909,80.549,82.1071,83.6652,85.2232,90.5771,92.1299,93.6827,95.2355,96.7882
70,2018-03-19,87.2991,88.868,90.4369,92.0057,93.5746,84.4152,85.9841,87.5529,89.1218,90.6907,81.5313,83.1002,84.669,86.2379,87.8068,78.6474,80.2163,81.7851,83.354,84.9229,90.2337,91.797,93.3604,94.9237,96.487
71,2018-03-20,87.2539,88.834,90.4141,91.9942,93.5744,84.347,85.9271,87.5072,89.0873,90.6674,81.44,83.0201,84.6002,86.1803,87.7604,78.533,80.1131,81.6932,83.2733,84.8535,90.0278,91.6016,93.1754,94.7492,96.323
72,2018-03-21,86.961,88.5501,90.1391,91.7282,93.3172,84.034,85.623,87.2121,88.8011,90.3902,81.107,82.696,84.2851,85.8741,87.4631,78.1799,79.769,81.358,82.9471,84.5361,89.6546,91.2374,92.8201,94.4029,95.9856
73,2018-03-22,88.8873,90.4836,92.0799,93.6762,95.2725,85.9252,87.5215,89.1178,90.7141,92.3105,82.9631,84.5594,86.1557,87.752,89.3484,80.001,81.5973,83.1936,84.79,86.3863,91.8105,93.4007,94.9909,96.5812,98.1714
74,2018-03-23,88.5568,90.1547,91.7527,93.3506,94.9485,85.5853,87.1833,88.7812,90.3791,91.977,82.6138,84.2118,85.8097,87.4076,89.0055,79.6424,81.2403,82.8382,84.4361,86.034,91.4066,92.9988,94.5909,96.1831,97.7753
75,2018-03-26,88.5353,90.1333,91.7313,93.3293,94.9272,85.5634,87.1613,88.7593,90.3573,91.9553,82.5914,84.1894,85.7874,87.3854,88.9834,79.6195,81.2175,82.8155,84.4134,86.0114,91.3695,92.9618,94.5541,96.1464,97.7387
76,2018-03-27,88.4224,90.0204,91.6183,93.2163,94.8143,85.4504,87.0484,88.6464,90.2444,91.8424,82.4785,84.0765,85.6745,87.2724,88.8704,79.5065,81.1045,82.7025,84.3005,85.8985,91.2778,92.8701,94.4624,96.0547,97.6471
77,2018-03-28,88.4224,90.0204,91.6183,93.2163,94.8143,85.4504,87.0484,88.6464,90.2444,91.8424,82.4785,84.0765,85.6745,87.2724,88.8704,79.5065,81.1045,82.7025,84.3005,85.8985,91.2778,92.8701,94.4624,96.0547,97.6471
78,2018-03-29,88.4677,90.0718,91.6759,93.2799,94.884,85.486,87.0901,88.6942,90.2983,91.9023,82.5044,84.1084,85.7125,87.3166,88.9207,79.5227,81.1268,82.7308,84.3349,85.939,91.2842,92.8826,94.481,96.0794,97.6778
79,2018-03-30,88.5223,90.1333,91.7443,93.3552,94.9662,85.5283,87.1393,88.7502,90.3612,91.9722,82.5343,84.1452,85.7562,87.3672,88.9781,79.5402,81.1512,82.7622,84.3731,85.9841,91.2894,92.8947,94.5,96.1053,97.7106
