,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
58,2018-03-01,102.5243,104.0276,105.5309,107.0342,108.5375,99.601,101.1043,102.6076,104.1109,105.6142,96.6776,98.1809,99.6842,101.1875,102.6908,93.7543,95.2576,96.7609,98.2642,99.7675,90.8309,92.3342,93.8375,95.3408,96.8441
59,2018-03-02,102.4585,103.9645,105.4705,106.9765,108.4825,99.5313,101.0373,102.5433,104.0493,105.5553,96.6041,98.1101,99.6161,101.1221,102.6281,93.6769,95.1829,96.6889,98.1949,99.7009,90.7497,92.2557,93.7617,95.2677,96.7737
60,2018-03-05,102.4585,103.9645,105.4705,106.9765,108.4825,99.5313,101.0373,102.5433,104.0493,105.5553,96.6041,98.1101,99.6161,101.1221,102.6281,93.6769,95.1829,96.6889,98.1949,99.7009,90.7497,92.2557,93.7617,95.2677,96.7737
61,2018-03-06,102.4585,103.9645,105.4705,106.9765,108.4825,99.5313,101.0373,102.5433,104.0493,105.5553,96.6041,98.1101,99.6161,101.1221,102.6281,93.6769,95.1829,96.6889,98.1949,99.7009,90.7497,92.2557,93.7617,95.2677,96.7737
62,2018-03-07,102.4478,103.9541,105.4604,106.9666,108.4729,99.5203,101.0266,102.5328,104.0391,105.5454,96.5928,98.099,99.6053,101.1116,102.6178,93.6652,95.1715,96.6777,98.184,99.6903,90.7377,92.2439,93.7502,95.2565,96.7627
63,2018-03-08,102.3709,103.8803,105.3896,106.899,108.4083,99.4393,100.9487,102.458,103.9674,105.4768,96.5078,98.0171,99.5265,101.0358,102.5452,93.5762,95.0855,96.5949,98.1042,99.6136,90.6446,92.1539,93.6633,95.1727,96.682
64,2018-03-09,102.3709,103.8803,105.3896,106.899,108.4083,99.4393,100.9487,102.458,103.9674,105.4768,96.5078,98.0171,99.5265,101.0358,102.5452,93.5762,95.0855,96.5949,98.1042,99.6136,90.6446,92.1539,93.6633,95.1727,96.682
65,2018-03-12,102.7874,104.309,105.8306,107.3522,108.8737,99.8358,101.3574,102.879,104.4006,105.9221,96.8842,98.4058,99.9274,101.449,102.9705,93.9326,95.4542,96.9758,98.4974,100.0189,90.981,92.5026,94.0242,95.5458,97.0673
66,2018-03-13,102.624,104.1582,105.6923,107.2265,108.7607,99.6512,101.1854,102.7196,104.2538,105.7879,96.6785,98.2127,99.7468,101.281,102.8152,93.7058,95.2399,96.7741,98.3083,99.8425,90.733,92.2672,93.8014,95.3355,96.8697
67,2018-03-14,102.4178,103.9562,105.4946,107.033,108.5713,99.4389,100.9773,102.5157,104.0541,105.5924,96.46,97.9984,99.5368,101.0751,102.6135,93.4811,95.0195,96.5579,98.0962,99.6346,90.5022,92.0406,93.5789,95.1173,96.6557
68,2018-03-15,102.682,104.2315,105.7809,107.3304,108.8799,99.684,101.2335,102.783,104.3325,105.882,96.686,98.2355,99.785,101.3345,102.884,93.688,95.2375,96.787,98.3365,99.886,90.69,92.2395,93.789,95.3385,96.888
69,2018-03-16,102.5817,104.1344,105.6871,107.2397,108.7924,99.5785,101.1312,102.6838,104.2365,105.7892,96.5752,98.1279,99.6806,101.2333,102.7859,93.572,95.1247,96.6773,98.23,99.7827,90.5688,92.1214,93.6741,95.2268,96.7794
70,2018-03-19,102.3153,103.8786,105.4418,107.005,108.5682,99.2929,100.8561,102.4193,103.9825,105.5457,96.2704,97.8336,99.3968,100.96,102.5233,93.2479,94.8111,96.3743,97.9375,99.5008,90.2254,91.7886,93.3518,94.915,96.4783
71,2018-03-20,102.1936,103.7673,105.341,106.9147,108.4883,99.1501,100.7238,102.2975,103.8711,105.4448,96.1066,97.6803,99.2539,100.8276,102.4013,93.0631,94.6367,96.2104,97.7841,99.3578,90.0195,91.5932,93.1669,94.7406,96.3143
72,2018-03-21,101.9008,103.4834,105.066,106.6486,108.2312,98.8372,100.4198,102.0024,103.585,105.1676,95.7736,97.3562,98.9388,100.5214,102.1041,92.71,94.2926,95.8752,97.4579,99.0405,89.6464,91.229,92.8117,94.3943,95.9769
73,2018-03-22,104.219,105.8091,107.3992,108.9893,110.5794,101.1148,102.7049,104.295,105.885,107.4751,98.0106,99.6006,101.1907,102.7808,104.3709,94.9063,96.4964,98.0865,99.6766,101.2667,91.8021,93.3922,94.9823,96.5724,98.1624
