,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,etf变动,etf绝对值
161,8/30/2017,0.383321317,0.538064762,0.75824396,0.823322154,0.754488277,0.802874566,0.767055673,0.823779144,-0.00502062,0.00502062
162,8/31/2017,-0.32904871,-0.266007363,-0.046332907,-0.076200041,0.306772359,0.240902873,0.234070057,0.380833368,-0.003243828,0.003243828
163,9/1/2017,0.884607722,0.798340642,0.774454316,0.82420156,0.151070565,0.10449059,0.24090872,-0.074872436,-0.00216959,0.00216959
164,9/4/2017,0.32156663,0.228076447,0.359480764,0.429661219,0.562166425,0.589229374,0.221623235,0.185332856,0.001449538,0.001449538
165,9/5/2017,0.208853396,0.235664495,0.455551155,0.341773842,0.661029407,0.742552208,0.881813267,0.891466194,0.006513479,0.006513479
166,9/6/2017,0.331441171,0.313859129,0.324077616,0.446935902,0.648402279,0.633134781,0.261735152,0.494815377,-0.00611181,0.00611181
167,9/7/2017,0.868838669,0.210336478,0.795986306,0.770853416,0.661142518,0.787810768,0.629501846,0.67526318,-0.007958039,0.007958039
168,9/8/2017,-0.034340308,-0.037274694,-0.02095776,0.048728146,-0.09860329,-0.032915218,-0.0241756,0.153125964,-0.001823154,0.001823154
169,9/11/2017,-0.763659639,-0.852222121,-0.6904014,-0.667634851,-0.670320323,-0.563478207,-0.486656641,-0.465415602,-0.002557078,0.002557078
170,9/12/2017,-0.729259618,-0.758162726,-0.481466352,-0.455079589,-0.680049836,-0.682409368,-0.742919103,-0.797461612,0.005493499,0.005493499
171,9/13/2017,-0.079886321,0.022248834,-0.156702428,-0.115348061,0.465135545,0.352676814,-0.022734236,-0.051569637,-0.002549627,0.002549627
172,9/14/2017,0.045646893,0.039647829,0.056521032,0.055092865,0.064167396,0.061718679,0.068041723,0.065455519,-0.005842615,0.005842615
173,9/15/2017,-0.240423222,-0.191619105,0.131124803,0.201723765,-0.113832577,-0.188740988,-0.010861867,-0.063401656,0,0
174,9/18/2017,-0.343889502,-0.358175032,0.469497549,0.435009165,0.648735803,0.599102116,0.635066589,0.600046427,0.002571166,0.002571166
175,9/19/2017,0.617316753,0.390320634,0.471290228,0.510795049,0.822683837,0.779510075,0.299255222,0.163778668,-0.003663675,0.003663675
