,expiry,date,strike,id,type,path,is_atm
104,20170222,20170105,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170105\2350\10000839P\10000839vols_data.csv,0
105,20170322,20170105,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170105\2250\10000675C\10000675vols_data.csv,0
106,20170322,20170105,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170105\2300\10000787C\10000787vols_data.csv,1
107,20170322,20170105,2350,10000788,C,E:/Pycharm/data/option_data\20170322\20170105\2350\10000788C\10000788vols_data.csv,0
108,20170322,20170105,2400,10000789,C,E:/Pycharm/data/option_data\20170322\20170105\2400\10000789C\10000789vols_data.csv,0
109,20170322,20170105,2450,10000790,C,E:/Pycharm/data/option_data\20170322\20170105\2450\10000790C\10000790vols_data.csv,0
110,20170322,20170105,2500,10000791,C,E:/Pycharm/data/option_data\20170322\20170105\2500\10000791C\10000791vols_data.csv,0
111,20170322,20170105,2200,10000827,C,E:/Pycharm/data/option_data\20170322\20170105\2200\10000827C\10000827vols_data.csv,0
112,20170322,20170105,2250,10000680,P,E:/Pycharm/data/option_data\20170322\20170105\2250\10000680P\10000680vols_data.csv,0
113,20170322,20170105,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170105\2300\10000792P\10000792vols_data.csv,1
114,20170322,20170105,2350,10000793,P,E:/Pycharm/data/option_data\20170322\20170105\2350\10000793P\10000793vols_data.csv,0
115,20170322,20170105,2200,10000828,P,E:/Pycharm/data/option_data\20170322\20170105\2200\10000828P\10000828vols_data.csv,0
116,20170628,20170105,2250,10000729,C,E:/Pycharm/data/option_data\20170628\20170105\2250\10000729C\10000729vols_data.csv,0
117,20170628,20170105,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170105\2300\10000797C\10000797vols_data.csv,1
118,20170628,20170105,2350,10000798,C,E:/Pycharm/data/option_data\20170628\20170105\2350\10000798C\10000798vols_data.csv,0
119,20170628,20170105,2400,10000799,C,E:/Pycharm/data/option_data\20170628\20170105\2400\10000799C\10000799vols_data.csv,0
120,20170628,20170105,2450,10000800,C,E:/Pycharm/data/option_data\20170628\20170105\2450\10000800C\10000800vols_data.csv,0
121,20170628,20170105,2500,10000801,C,E:/Pycharm/data/option_data\20170628\20170105\2500\10000801C\10000801vols_data.csv,0
122,20170628,20170105,2200,10000829,C,E:/Pycharm/data/option_data\20170628\20170105\2200\10000829C\10000829vols_data.csv,0
123,20170628,20170105,2250,10000734,P,E:/Pycharm/data/option_data\20170628\20170105\2250\10000734P\10000734vols_data.csv,0
124,20170628,20170105,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170105\2300\10000802P\10000802vols_data.csv,1
125,20170628,20170105,2350,10000803,P,E:/Pycharm/data/option_data\20170628\20170105\2350\10000803P\10000803vols_data.csv,0
