,date,corr
152,2017-08-17,0.05713574032479286
153,2017-08-18,-0.8038217367710128
154,2017-08-21,0.29854712973763253
155,2017-08-22,0.09089330113531828
156,2017-08-23,0.14232030533316042
157,2017-08-24,0.9362585094955296
158,2017-08-25,0.7652457079117436
159,2017-08-28,0.6316759990988211
160,2017-08-29,0.8854018081047847
161,2017-08-30,0.40610795931135707
162,2017-08-31,-0.3265912465617891
163,2017-09-01,0.8849516994375872
164,2017-09-04,0.33541985607124203
165,2017-09-05,0.20526645755443693
166,2017-09-06,0.3201952426731332
167,2017-09-07,0.8768426837997242
168,2017-09-08,-0.04780378649582824
169,2017-09-11,-0.15875350254016077
170,2017-09-12,-0.6419809550822413
171,2017-09-13,-0.07883720222047912
172,2017-09-14,0.0461877983495007
