,sec,average_accu_orders
12904,12904,21228.824933189007
12905,12905,21231.08818449963
12906,12906,21233.35217859339
12907,12907,21235.384475234
12908,12908,21236.725455043343
12909,12909,21237.5051016029
12910,12910,21237.97533751192
12911,12911,21238.530061837933
12912,12912,21239.864944297286
12913,12913,21240.80733993753
12914,12914,21241.479721497035
12915,12915,21241.908055365944
12916,12916,21244.00482688776
12917,12917,21245.594803008935
12918,12918,21247.361763525143
12919,12919,21248.664980937592
12920,12920,21248.991702600306
12921,12921,21250.901481304372
12922,12922,21252.467089601036
12923,12923,21254.50302546466
12924,12924,21255.869904709485
12925,12925,21257.491836150817
12926,12926,21258.5424352663
12927,12927,21259.265724411034
12928,12928,21260.53813119852
12929,12929,21261.770742707686
12930,12930,21264.356435785427
12931,12931,21265.347659117208
12932,12932,21266.370685792353
12933,12933,21268.23082950148
12934,12934,21269.40037224408
12935,12935,21271.682986412707
12936,12936,21273.401785120484
12937,12937,21274.680415891344
12938,12938,21275.294641034416
12939,12939,21276.028057049298
12940,12940,21277.184149807974
12941,12941,21278.63043223773
12942,12942,21281.2478594783
12943,12943,21283.369480570273
12944,12944,21285.19273378372
12945,12945,21286.9911625877
12946,12946,21289.105369630914
12947,12947,21293.317855160356
12948,12948,21294.475833193977
12949,12949,21295.26220077284
12950,12950,21295.926389797005
12951,12951,21297.008839521415
12952,12952,21298.099746774442
12953,12953,21300.457522416516
12954,12954,21302.81112112831
12955,12955,21303.76442334823
12956,12956,21307.59713153906
12957,12957,21309.66556414301
12958,12958,21312.51379881693
12959,12959,21313.178947835673
12960,12960,21315.44000544418
12961,12961,21316.631664243065
12962,12962,21318.4720685183
12963,12963,21321.057541143302
12964,12964,21322.95989616027
12965,12965,21324.112017759056
12966,12966,21325.767177771402
12967,12967,21327.36616284108
12968,12968,21328.279135138793
12969,12969,21329.745700672032
12970,12970,21331.86892943112
12971,12971,21333.621663879192
12972,12972,21337.2945317086
12973,12973,21340.693447614438
12974,12974,21343.05698621721
12975,12975,21345.27210256502
12976,12976,21347.043789647025
12977,12977,21348.35318014507
12978,12978,21349.301225079
12979,12979,21350.70442509608
12980,12980,21354.282527549272
12981,12981,21356.18740280138
12982,12982,21357.455096048718
12983,12983,21359.510657031682
12984,12984,21360.773358287515
12985,12985,21362.60791455955
12986,12986,21364.437582026876
12987,12987,21366.565474132698
12988,12988,21367.60693373668
12989,12989,21369.90894047315
12990,12990,21371.100805889448
12991,12991,21373.787360094884
12992,12992,21376.721399221944
12993,12993,21379.52548480607
12994,12994,21381.27557290033
12995,12995,21383.20560985244
12996,12996,21384.646328783696
12997,12997,21386.678812021262
12998,12998,21388.721438143344
12999,12999,21390.25531002092
13000,13000,21391.56255363436
13001,13001,21393.115703097097
13002,13002,21396.159590054693
13003,13003,21397.101124095396
13004,13004,21398.088163229557
13005,13005,21399.851338427336
13006,13006,21402.211390714205
13007,13007,21403.239648389095
13008,13008,21404.96577741608
13009,13009,21406.820548369855
