,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,tomorrow_delta,tomorrow_delta_cost,tomorrow_vega,tomorrow_vega_cost,volume
31,2017-12-18,2017-12-18 14:56:10,2.8426,10000960,0.00109772,0.0009,0.001,0.17019,0.164278,0.167354,-0.0355457,0.00035405699999999996,1.01498,-0.130524,-0.0914627,-0.08372439999999999,0.03,0.14660399999999998,0.025365900000000004,-0.0811251,-4.76267,2.7,-1.21832,0,20171227,2.8275,0.0004,-0.0163449,-0.0,0.000175366,1.6862115384615384e-05,-21.9978
32,2017-12-18,2017-12-18 14:56:10,2.8426,10000960,0.00109772,0.0009,0.001,0.17019,0.164278,0.167354,-0.0355457,0.00035405699999999996,1.01498,-0.130524,-0.0914627,-0.08372439999999999,0.03,0.14660399999999998,0.025365900000000004,-0.0811251,-4.76267,2.7,-1.21832,0,20171227,2.8275,0.0004,-0.0163449,-0.0,0.000175366,1.6862115384615384e-05,-21.9978
33,2017-12-19,2017-12-19 14:56:06,2.8841,10001126,0.00113151,0.0012,0.0014,0.16751,0.169376,0.174505,-0.0386892,0.00036072,1.1621700000000001,-0.15473499999999998,-0.09155369999999999,-0.0841036,0.03,0.201562,0.022276,-0.08999249999999999,-5.806109999999999,2.75,-1.17359,0,20171227,2.8705,0.0008,-0.029657,-0.0,0.00026906900000000004,2.5872019230769235e-05,0.0
34,2017-12-19,2017-12-19 14:56:06,2.8841,10000960,0.000500175,0.0004,0.0006,0.196441,0.190305,0.2018,-0.0163449,0.000175366,0.481785,-0.0853952,-0.0443746,-0.041431,0.03,0.201562,0.022276,-0.0510832,-3.93141,2.7,-1.66535,0,20171227,2.8705,0.0002,-0.011334899999999998,-0.0,0.000118694,1.1412884615384617e-05,0.0
35,2017-12-19,2017-12-19 14:56:06,2.8841,10000960,0.000500175,0.0004,0.0006,0.196441,0.190305,0.2018,-0.0163449,0.000175366,0.481785,-0.0853952,-0.0443746,-0.041431,0.03,0.201562,0.022276,-0.0510832,-3.93141,2.7,-1.66535,0,20171227,2.8705,0.0002,-0.011334899999999998,-0.0,0.000118694,1.1412884615384617e-05,0.0
36,2017-12-20,2017-12-20 14:56:02,2.8843,10001126,0.000785847,0.0008,0.0009,0.170017,0.170541,0.17408900000000002,-0.029657,0.00026906900000000004,0.991511,-0.135198,-0.07450330000000001,-0.0690843,0.03,0.21711399999999997,0.0191862,-0.0820084,-6.46131,2.75,-1.27326,0,20171227,2.8735,0.0005,-0.0184011,-0.0,0.000166257,1.598625e-05,-46.9953
37,2017-12-20,2017-12-20 14:56:02,2.8843,10001126,0.000785847,0.0008,0.0009,0.170017,0.170541,0.17408900000000002,-0.029657,0.00026906900000000004,0.991511,-0.135198,-0.07450330000000001,-0.0690843,0.03,0.21711399999999997,0.0191862,-0.0820084,-6.46131,2.75,-1.27326,0,20171227,2.8735,0.0005,-0.0184011,-0.0,0.000166257,1.598625e-05,-46.9953
38,2017-12-20,2017-12-20 14:56:02,2.8843,10000960,0.000312651,0.0002,0.0003,0.199148,0.188173,0.198071,-0.011334899999999998,0.000118694,0.373404,-0.06770810000000001,-0.0321655,-0.0302759,0.03,0.21711399999999997,0.0191862,-0.04284469999999999,-3.88901,2.7,-1.8031400000000002,0,20171227,2.8735,0.0003,-0.0104497,-0.0,0.000102085,9.815865384615384e-06,-46.9953
39,2017-12-21,2017-12-21 14:56:15,2.9072,10001126,0.0004883730000000001,0.0005,0.0006,0.196279,0.196973,0.202557,-0.0184011,0.000166257,0.622691,-0.114501,-0.0402682,-0.037937900000000004,0.03,0.275594,0.016094499999999998,-0.0617279,-5.8815800000000005,2.75,-1.62809,0,20171227,2.8925,0.0003,-0.0163644,-0.0,0.000134547,1.2937211538461539e-05,-145.6521
40,2017-12-21,2017-12-21 14:56:15,2.9072,10001126,0.0004883730000000001,0.0005,0.0006,0.196279,0.196973,0.202557,-0.0184011,0.000166257,0.622691,-0.114501,-0.0402682,-0.037937900000000004,0.03,0.275594,0.016094499999999998,-0.0617279,-5.8815800000000005,2.75,-1.62809,0,20171227,2.8925,0.0003,-0.0163644,-0.0,0.000134547,1.2937211538461539e-05,-145.6521
