,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
74,2018-01-09,0.0008,0.0010694,-0.0,-5.904750000000001e-08,-100.8,-0.027161471988,1.513133847742324
75,2018-01-10,0.0018,0.00190788,-0.0,-1.1195134615384616e-07,-220.5,-0.023812225271826942,1.489321622470497
76,2018-01-10,0.0006,0.00084023,-0.0,-5.176596153846154e-08,-47.25,-0.011353313441682694,1.4779683090288143
77,2018-01-10,0.0006,0.00084023,-0.0,-5.176596153846154e-08,-47.25,-0.011353313441682694,1.4666149955871315
78,2018-01-11,0.0013,0.00194549,-0.0,-8.331865384615384e-08,-257.6,-0.1662996868852308,1.3003153087019006
79,2018-01-11,0.0013,0.00194549,-0.0,-8.331865384615384e-08,-55.2,-0.03563564718969232,1.2646796615122082
80,2018-01-11,0.0006,0.000723146,-0.0,-4.268653846153846e-08,-55.2,-0.006800015496923082,1.2578796460152852
81,2018-01-12,0.001,0.00144351,-0.0,-6.396269230769231e-08,-300.2999999999999,-0.13320526099649996,1.1246743850187852
82,2018-01-12,0.001,0.00144351,-0.0,-6.396269230769231e-08,-64.35,-0.028543984499249997,1.0961304005195354
83,2018-01-12,0.001,0.00144351,-0.0,-6.396269230769231e-08,-64.35,-0.028543984499249997,1.0675864160202853
84,2018-01-15,0.0011,0.00271085,-0.0,-6.17723076923077e-08,-449.4,-0.7239437504750769,0.3436426655452084
85,2018-01-15,0.0006,0.00127663,-0.0,-3.4755576923076926e-08,-96.3,-0.0651628159620577,0.2784798495831507
86,2018-01-15,0.0006,0.00127663,-0.0,-3.4755576923076926e-08,-96.3,-0.0651628159620577,0.213317033621093
87,2018-01-16,0.0016,0.00112119,-0.0,-6.851365384615387e-08,-466.9,0.22352439997501924,0.43684143359611227
88,2018-01-16,0.0016,0.00112119,-0.0,-6.851365384615387e-08,-100.05,0.0478980857089327,0.484739519305045
89,2018-01-16,0.0007,0.0005924330000000001,-0.0,-3.703692307692308e-08,-100.05,0.010758372805846145,0.4954978921108911
90,2018-01-17,0.0009,0.00161057,-0.0,-4.056307692307693e-08,-548.8,-0.38998307701661533,0.1055148150942758
91,2018-01-17,0.0009,0.00161057,-0.0,-4.056307692307693e-08,-117.6,-0.08356780221784615,0.02194701287642964
92,2018-01-17,0.0009,0.00161057,-0.0,-4.056307692307693e-08,-117.6,-0.08356780221784615,-0.061620789341416515
93,2018-01-18,0.002,0.00163081,-0.0,-6.778519230769233e-08,-577.5,0.2131680790514424,0.15154728971002587
94,2018-01-18,0.0008,0.000918013,-0.0,-3.389e-08,-123.75,-0.01460830263749999,0.1369389870725259
95,2018-01-18,0.0008,0.000918013,-0.0,-3.389e-08,-123.75,-0.01460830263749999,0.1223306844350259
96,2018-01-19,0.0004,0.00200307,-0.0,-1.0936230769230769e-08,-660.8,-1.0593158826612923,-0.9369851982262664
97,2018-01-19,0.0004,0.00200307,-0.0,-1.0936230769230769e-08,-141.6,-0.22699626057027694,-1.1639814587965434
98,2018-01-19,0.0002,0.0008291310000000001,-0.0,-6.840326923076925e-09,-141.6,-0.08908591819029231,-1.2530673769868357
99,2018-01-22,0.0002,0.00046035,-0.0,-5.363884615384616e-09,-415.8,-0.10825576030322309,-1.3613231372900587
100,2018-01-22,0.0002,0.000220757,-0.0,-2.758461538461539e-09,-89.1,-0.0018496944789230761,-1.3631728317689817
101,2018-01-22,0.0002,0.000220757,-0.0,-2.758461538461539e-09,-89.1,-0.0018496944789230761,-1.3650225262479048
102,2018-01-23,0.0,0.00166438,-0.0,-9.27973076923077e-19,-70.69999999999997,-0.11767166600000002,-1.4826941922479049
103,2018-01-23,0.0001,0.000121113,-0.0,-2.5572307692307678e-79,-15.15,-0.00031986195,-1.4830140541979049
104,2018-01-23,0.0,6.43155e-05,-0.0,-1.5645942307692297e-131,-15.15,-0.0009743798250000001,-1.4839884340229048
105,2018-01-24,,5.6121400000000005e-15,,,-70.69999999999997,,
106,2018-01-24,,5.6121400000000005e-15,,,-15.15,,
107,2018-01-24,,0.0,,,-15.15,,
108,2018-01-25,0.0077,0.0145935,-0.0,-3.09675e-07,-317.0,-2.185337666975,-3.669326100997905
109,2018-01-26,0.0153,0.00743531,-0.0,-4.386019230769231e-07,-227.5,1.7891171930625,-1.880208907935405
110,2018-01-26,0.0153,0.00743531,-0.0,-4.386019230769231e-07,-97.5,0.7667645113125,-1.113444396622905
111,2018-01-29,0.009000000000000001,0.00756332,-0.0,-3.4845000000000003e-07,-303.1,0.4353520928050003,-0.6780923038179048
112,2018-01-29,0.019,0.0148916,-0.0,-4.973557692307692e-07,-64.95,0.2668082767427885,-0.41128402707511624
113,2018-01-29,0.019,0.0148916,-0.0,-4.973557692307692e-07,-64.95,0.2668082767427885,-0.14447575033232773
114,2018-01-30,0.003,0.00429959,-0.0,-1.6599653846153848e-07,-228.2,-0.29660431841007684,-0.4410800687424046
115,2018-01-30,0.0061,0.00909398,-0.0,-2.6897884615384624e-07,-48.9,-0.14641877506557688,-0.5874988438079815
116,2018-01-30,0.013000000000000001,0.018641,-0.0,-4.038250000000001e-07,-48.9,-0.2758646470425,-0.8633634908504815
117,2018-01-31,0.0039,0.00631515,-0.0,-2.0224423076923078e-07,-212.8,-0.5139869575723078,-1.3773504484227894
118,2018-01-31,0.0016,0.00311456,-0.0,-1.1136019230769234e-07,-45.6,-0.06906901402476924,-1.4464194624475586
119,2018-01-31,0.0039,0.00631515,-0.0,-2.0224423076923078e-07,-45.6,-0.1101400623369231,-1.5565595247844817
120,2018-02-01,0.0074,0.00883529,-0.0,-2.921692307692308e-07,-146.29999999999995,-0.21002567135846154,-1.7665851961429433
121,2018-02-01,0.0036,0.0039655,-0.0,-1.792346153846154e-07,-31.35,-0.01146404400519232,-1.7780492401481356
122,2018-02-01,0.0015,0.00171818,-0.0,-1.033648076923077e-07,-31.35,-0.0068431834867211504,-1.7848924236348567
123,2018-02-02,0.005,0.00738148,-0.0,-2.096634615384616e-07,-206.5,-0.4918189155048077,-2.2767113391396645
124,2018-02-02,0.005,0.00738148,-0.0,-2.096634615384616e-07,-44.25,-0.10538976760817308,-2.3821011067478377
125,2018-02-02,0.0023,0.00351002,-0.0,-1.2618038461538466e-07,-44.25,-0.05354896848201923,-2.435650075229857
126,2018-02-05,0.0232,0.00486433,-0.0,-4.294442307692308e-07,-348.6,6.391664857741153,3.9560147825112963
