,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,volume
49,2018-02-09,2018-02-09 14:56:03,2.793,10001159,0.036816,0.0358,0.0364,0.387092,0.381742,0.384905,-0.255484,0.00190428,1.39697,-0.848585,-0.167685,-0.147038,0.03,0.0765859,0.0451421,-0.323381,-2.51478,2.65,-0.94986,0,20180228,2.8035,0.0198,-320.0
50,2018-02-12,2018-02-12 14:56:10,2.8075,10001159,0.021199700000000002,0.0198,0.02,0.33620300000000003,0.326977,0.328306,-0.19903800000000002,0.00153114,1.5069299999999999,-0.7367520000000001,-0.132199,-0.117948,0.03,0.148302,0.0383426,-0.27323000000000003,-3.2894900000000002,2.65,-1.08673,0,20180228,2.8005,0.0094,-222.0
51,2018-02-13,2018-02-13 14:56:06,2.8547,10001160,0.0145922,0.0146,0.0148,0.295694,0.295752,0.297236,-0.168149,0.00134459,1.58233,-0.618514,-0.126501,-0.11343699999999995,0.03,0.145039,0.0352639,-0.245779,-3.5581300000000002,2.7,-1.10036,0,20180228,2.8465,0.0134,-268.0
52,2018-02-14,2018-02-14 14:56:06,2.8871,10001160,0.0134884,0.0134,0.0137,0.330142,0.329402,0.331908,-0.148392,0.00119548,1.35029,-0.709954,-0.09013600000000001,-0.08205189999999997,0.03,0.25638,0.0321728,-0.23016799999999998,-3.87868,2.7,-1.3317299999999999,0,20180228,2.8685,0.002,-294.0
53,2018-02-22,2018-02-22 14:56:04,2.9334,10001147,0.00749122,0.0075,0.0078,0.297114,0.297225,0.300966,-0.13231199999999999,0.000795573,1.9328900000000002,-0.8625139999999999,-0.0666528,-0.0622312,0.03,0.36138400000000004,0.0160992,-0.193275,-8.2754,2.8,-1.29908,0,20180228,2.9245,0.0025,-104.0
54,2018-02-23,2018-02-23 14:56:05,2.9564,10001147,0.00251941,0.0025,0.0026,0.294915,0.29441999999999996,0.29695,-0.0583323,0.000392665,1.17108,-0.474075,-0.0415239,-0.039283,0.03,0.19833900000000002,0.013007900000000001,-0.10732799999999999,-7.38714,2.8,-1.8294400000000002,0,20180228,2.9505,0.0008,-104.0
55,2018-02-26,2018-02-26 14:56:06,2.9751,10001147,0.000454226,0.0008,0.001,0.339796,0.370446,0.384423,-0.0158334,9.293860000000001e-05,0.49779799999999996,-0.281177,-0.00958286,-0.0092909,0.03,0.599405,0.00620736,-0.0326074,-7.662439999999999,2.8,-2.9001099999999997,0,20180228,2.9625,0.0008,0.0
56,2018-02-27,2018-02-27 14:56:05,2.9199,10001148,0.00294968,0.0045,0.0046,0.317857,0.362592,0.36525799999999997,-0.115674,0.000317409,3.75829,-1.96367,-0.0327946,-0.0317427,0.03,1.0517,0.00311634,-0.184731,-47.4631,2.85,-1.5080200000000001,0,20180228,2.9135,0.0,-163.0
57,2018-02-28,2018-02-28 14:56:07,2.8761,10001147,0.0,0.0,0.0001,0.557651,0.0,1.0,-0.0,2.98253e-21,2.56344e-15,-3.2970500000000002e-15,0.0,0.0,0.03,101.774,2.5008000000000002e-05,-0.00297655,-118.01100000000001,2.8,-19.3138,0,20180228,2.8715,,-79.0
58,2018-03-01,2018-03-01 14:56:07,2.8928,10001130,0.0244523,0.0242,0.0246,0.243133,0.242036,0.243775,-0.216944,0.00230153,1.5370700000000002,-0.391023,-0.27809,-0.23192600000000002,0.03,0.048447000000000004,0.0735937,-0.251328,-1.1652799999999999,2.75,-0.726424,0,20180328,2.8835,0.0284,-24.0
59,2018-03-02,2018-03-02 14:56:06,2.8688,10000977,0.018972,0.0186,0.0187,0.249797,0.247917,0.248423,-0.17841500000000002,0.00198474,1.36934,-0.36489499999999997,-0.23584499999999997,-0.19977999999999999,0.03,0.057079599999999994,0.07050269999999999,-0.21848299999999998,-1.39257,2.7,-0.884785,0,20180328,2.8575,0.015,-14.0
60,2018-03-05,2018-03-05 14:56:00,2.8659,10000977,0.015576,0.015,0.0153,0.242669,0.23941199999999999,0.24111300000000002,-0.16303,0.0017795000000000005,1.40153,-0.349428,-0.2086530000000001,-0.17890799999999998,0.03,0.053449,0.06370289999999999,-0.201992,-1.60141,2.7,-0.921365,0,20180328,2.8575,0.009000000000000001,0.0
